experiment,variable,bleu4,rougeL,bertscore,radcliqv1,ratescore,f1chexbert,f1radgraph,green,clear_label_presence,clear_severity,clear_descriptive_location,clear_recommendation
Prompt,Instruct,0.04370850534281479,0.206046613152499,0.8498813226574757,0.7305075184537736,0.5161528534320898,0.44844226811439936,0.19334742840233451,0.19794490573179097,0.5091500484943108,0.20765027322404372,0.22133498281722325,0.12557369506806185
Language Model,Mistral-v1,0.025540669017242005,0.14066189888450736,0.8204157723755133,0.5527736269240505,0.4645333812561923,0.3901622057359762,0.17225804140470513,0.22703989999071966,0.42978142076502734,0.29508196721311475,0.22388123596542528,0.15729209068628522
Language Model,BioMistral,0.034096925948055294,0.194788842576013,0.8475233619330359,0.7186862409393103,0.49475023487027425,0.43152485037730937,0.17823482053224762,0.2080673879854208,0.5034383649137748,0.3579234972677595,0.2124175909807539,0.20032691664191626
Language Model,Mistral-v3,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Embedding Model,GLoRIA,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Embedding Model,ResNet50,0.014604321553217588,0.15710664344547715,0.8395627053057562,0.5892153053664778,0.4922615357650215,0.44797151846332184,0.1500201479086294,0.12217036151462381,0.5122152892644695,0.21994535519125682,0.18518861791097194,0.10105495027132452
Label Quality,Extracted - CheXbert,0.047110449507073444,0.21712032470907314,0.8544325339989584,0.9577978067515427,0.558456327234066,0.9366520546848416,0.2500277705400063,0.27817460317460313,0.7585214421279993,0.3896174863387978,0.3081658084990856,0.23092265813038743
Label Quality,Extracted - CheXpert,0.04739889430529433,0.2119327653648724,0.8513064677598047,0.86036725837423,0.5385821872397046,0.7399273768126226,0.22324992259328547,0.26159368864286897,0.7604686752227734,0.41502732240437157,0.300558385938589,0.2015574316467471
Label Quality,Predicted - CheXbert,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Label Quality,Predicted - CheXpert,0.05020391230317059,0.21239578013800578,0.8507393383588947,0.735328056593898,0.5123819201376304,0.46123120959186537,0.21353966197829702,0.23531095498308613,0.5471293733588817,0.27459016393442626,0.23712465482836742,0.12419283714332902
Retrieved Samples,3,0.040965387638328875,0.2059935370380406,0.8493806582982423,0.7339437975315516,0.5004095874530736,0.4375487900078064,0.19814436183264317,0.22449494949494947,0.5283159463487334,0.26502732240437155,0.221116997383656,0.175279349983889
Retrieved Samples,5,0.03167496022184661,0.1976779082386333,0.8486657465090517,0.7256926718655781,0.4961713253820461,0.4491803278688525,0.19439949417451008,0.20212901852246115,0.534260639178672,0.2568306010928962,0.20765650053780876,0.1734418464247572
Retrieved Samples,10,0.040222500107919244,0.20568896402300324,0.8490942042382037,0.7395138442450032,0.49754237152367153,0.4512099921935987,0.19606923789769287,0.21698601944503582,0.5195822392543703,0.30874316939890706,0.20092397236322015,0.1624036052450084
